,0
1631,approval
1632,congress
1633,going
1634,get
1635,deeply
1636,involved
1637,syria
1638,well
1639,war
1640,resolutions
1641,act
1642,president
1643,sent
1644,letter
1645,pursuant
1646,act
1647,yesterday
1648,explaining
1649,actions
1650,required
1651,think
1652,also
1653,makes
1654,good
1655,sense
1656,commit
1657,military
1658,men
1659,women
1660,uniform
1661,sort
1662,conflict
1663,deserve
1664,support
1665,congress
1666,bipartisan
1667,basis
1668,well
1669,support
1670,american
1671,people
1672,sort
1673,consultation
1674,advice
1675,important
1676,senator
1677,cardin
1678,let
1679,pick
1680,president
1681,obama
1682,president
1683,trump
1684,authorized
1685,widespread
1686,force
1687,across
1688,middle
1689,east
1690,based
1691,approval
1692,given
1693,congress
1694,right
1695,years
1696,later
1697,cover
1698,moving
1699,assad
1700,regime
1701,president
1702,made
1703,new
1704,approval
1705,important
1706,question
1707,remember
1708,president
1709,obama
1710,went
1711,congress
1712,back
1713,enforce
1714,red
1715,line
1716,clear
1717,congress
1718,going
1719,approve
1720,think
1721,president
1722,went
1723,congress
1724,democrats
1725,republicans
1726,would
1727,pass
1728,resolutions
1729,supporting
1730,use
1731,force
1732,depose
1733,bashar
1734,assad
1735,chris
1736,asked
1737,couple
1738,questions
1739,first
1740,regards
1741,authorization
1742,interpreted
1743,obama
1744,administration
1745,assume
1746,also
1747,trump
1748,administration
1749,cover
1750,use
1751,force
1752,isis
1753,syria
1754,many
1755,us
1756,disagree
1757,believe
1758,congress
1759,pass
1760,separate
1761,resolution
1762,dealing
1763,isis
1764,using
1765,resolution
1766,purpose
1767,regards
1768,going
1769,assad
1770,syria
1771,congressional
1772,authorization
1773,authority
1774,use
1775,force
1776,president
1777,inherent
1778,article
1779,powers
1780,consulted
1781,us
1782,notice
1783,attack
1784,incumbent
1785,upon
1786,consult
1787,congress
1788,going
1789,use
1790,force
1791,continuing
1792,basis
1793,needs
1794,authorization
1795,think
1796,house
1797,senate
1798,democrats
1799,well
1800,republicans
1801,would
1802,authorize
1803,use
1804,force
1805,think
1806,depends
1807,upon
1808,seeing
1809,plan
1810,president
1811,syria
1812,get
1813,support
1814,congress
1815,force
1816,used
1817,part
1818,implementing
1819,strategy
1820,neither
1821,overall
1822,strategy
1823,request
1824,use
1825,force
1826,well
1827,another
1828,big
1829,story
1830,week
1831,want
1832,address
1833,senate
1834,republicans
1835,invoking
1836,nuclear
1837,option
1838,changing
1839,rules
1840,senate
1841,confirm
1842,neil
1843,gorsuch
1844,next
1845,justice
1846,supreme
1847,court
1848,moment
1849,senate
1850,nomination
1851,neil
1852,gorsuch
1853,colorado
1854,associate
1855,justice
1856,supreme
1857,court
1858,united
1859,states
1860,confirmed
1861,senator
1862,cornyn
1863,want
1864,talk
1865,enough
1866,happened
1867,merrick
1868,garland
1869,gorsuch
1870,want
1871,talk
1872,impact
1873,going
1874,forward
1875,ensure
1876,next
